rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0.563487303,0.01471735,0.890532698,0.000347012,1011.030244,2.039846406,3,0.5,9,MLMSC-II
0.01239752,0.002677279,0.922102575,0.000396855,841.7536993,2.066097685,3,0.7,1,MLMSC-II
2.608278344,0.029522371,0.84467716,0.000369107,763.6980804,1.937356879,3,0.7,18,MLMSC-II
0.75984803,0.017571606,0.88731973,0.000384229,806.4130174,2.005773275,3,0.7,9,MLMSC-II
0.022795441,0.00330664,0.920103175,0.00042528,687.8643771,1.933997048,3,0.9,1,MLMSC-II
3.188162368,0.032512554,0.843149065,0.000401834,602.8520996,1.801390068,3,0.9,18,MLMSC-II
1.021395721,0.020203633,0.884687194,0.000412925,646.5483203,1.861512412,3,0.9,9,MLMSC-II
0.055588882,0.006001221,0.91751535,0.000454531,616.7089882,1.879596936,3,1,1,MLMSC-II
3.443711258,0.034420041,0.842478679,0.00041992,541.289802,1.716139194,3,1,18,MLMSC-II
1.128574285,0.021751286,0.88383754,0.000428171,574.8979204,1.757420499,3,1,9,MLMSC-II
0.083583283,0.006526405,0.917455174,0.00046757,552.3364427,1.779666118,3,1.1,1,MLMSC-II
3.691661668,0.035916621,0.841179042,0.000439174,480.8821036,1.636472004,3,1.1,18,MLMSC-II
1.279344131,0.023054803,0.882651072,0.000445889,518.7729354,1.702573212,3,1.1,9,MLMSC-II
0.201559688,0.011544975,0.914106564,0.0005063,449.0562887,1.611106978,3,1.3,1,MLMSC-II
4.314337133,0.040485882,0.838786982,0.00048055,383.7189362,1.422966332,3,1.3,18,MLMSC-II
1.698460308,0.027221736,0.879959106,0.000479863,416.9069886,1.477822101,3,1.3,9,MLMSC-II
0.364727055,0.015795557,0.912754297,0.000547809,372.480134,1.45978694,3,1.5,1,MLMSC-II
5.096580684,0.043311417,0.836914863,0.000515244,305.1481704,1.265726913,3,1.5,18,MLMSC-II
2.074385123,0.030854218,0.879857505,0.000512372,337.3766847,1.364924884,3,1.5,9,MLMSC-II
1.24495101,0.032347923,0.90982242,0.000631057,229.4220156,1.090053777,3,2,1,MLMSC-II
6.735452909,0.052235376,0.834767934,0.000600724,179.1276745,0.901133969,3,2,18,MLMSC-II
3.628074385,0.043771515,0.874427768,0.000594851,202.7893321,0.980195987,3,2,9,MLMSC-II
0.016396721,0.002732165,0.904143303,0.000392294,1062.011568,2.150397822,4,0.4,1,MLMSC-II
2.580683863,0.029506163,0.830442482,0.000351278,999.285053,2.058371515,4,0.4,18,MLMSC-II
0.779444111,0.017237449,0.871435332,0.000370487,1034.129814,2.136006329,4,0.4,9,MLMSC-II
0.021995601,0.003159307,0.902662801,0.000412895,930.0730554,2.155077655,4,0.5,1,MLMSC-II
2.805038992,0.031116601,0.830893617,0.000371968,860.9164967,2.014770478,4,0.5,18,MLMSC-II
0.894621076,0.019116106,0.871099504,0.000390814,903.7806039,2.081952461,4,0.5,9,MLMSC-II
0.073585283,0.005975758,0.898841454,0.000462258,715.3255449,2.000695991,4,0.7,1,MLMSC-II
3.528894221,0.034574035,0.82653693,0.000407453,645.9330134,1.86668764,4,0.7,18,MLMSC-II
1.25854829,0.022450102,0.866794722,0.000429969,679.114757,1.924726822,4,0.7,9,MLMSC-II
0.188362328,0.010480484,0.893889595,0.000504227,555.6528894,1.845488765,4,0.9,1,MLMSC-II
4.350329934,0.038542856,0.824949744,0.000457023,479.89991,1.62352469,4,0.9,18,MLMSC-II
1.688462308,0.027471331,0.864066873,0.000476151,517.7526195,1.729917345,4,0.9,9,MLMSC-II
0.292741452,0.013591913,0.893288205,0.000528238,487.5568486,1.714515032,4,1,1,MLMSC-II
4.731853629,0.040808376,0.822748782,0.000478211,419.5305039,1.55020242,4,1,18,MLMSC-II
2.027594481,0.029919703,0.861955163,0.000488691,452.2769546,1.620816771,4,1,9,MLMSC-II
0.456308738,0.017664816,0.891997525,0.000554583,430.7958808,1.637821901,4,1.1,1,MLMSC-II
5.25094981,0.043757735,0.822977637,0.00050591,363.9729954,1.427193723,4,1.1,18,MLMSC-II
2.317536493,0.032620504,0.861113331,0.00051619,395.6741252,1.504116248,4,1.1,9,MLMSC-II
0.864227155,0.025887031,0.891191352,0.000595299,339.4994001,1.407048291,4,1.3,1,MLMSC-II
6.037192561,0.048639594,0.821898106,0.000550702,275.14999,1.233994646,4,1.3,18,MLMSC-II
3.096580684,0.039696082,0.859111485,0.000562996,305.170096,1.295509844,4,1.3,9,MLMSC-II
1.438112378,0.034163876,0.888303977,0.000636103,267.9603779,1.242448096,4,1.5,1,MLMSC-II
7.088182364,0.053574531,0.818654568,0.000600276,210.8615177,1.033114994,4,1.5,18,MLMSC-II
3.920415917,0.045491968,0.856202965,0.000605003,238.3345931,1.128914286,4,1.5,9,MLMSC-II
3.330133973,0.051633562,0.88297164,0.000750614,152.8839232,0.860099414,4,2,1,MLMSC-II
9.436090226,0.067931181,0.813163639,0.000804731,110.975188,0.725027149,4,2,18,MLMSC-II
6.114377125,0.058127337,0.849533677,0.000714328,130.9272346,0.74413144,4,2,9,MLMSC-II
5.313259109,0.069322368,0.864136143,0.000941501,106.8093244,0.763115286,5,2,1,MLMSC-II
11.00583431,0.149267336,0.796197329,0.002030989,73.93063011,1.204609885,5,2,18,MLMSC-II
8.269095182,0.077510157,0.83051987,0.000980038,90.76302879,0.708681028,5,2,9,MLMSC-II
0.069586083,0.005767557,0.883977667,0.000424873,991.0022396,2.175495295,5,0.4,1,MLMSC-II
3.24415117,0.032046065,0.815572773,0.000372088,917.6184963,2.093223744,5,0.4,18,MLMSC-II
1.152969406,0.02105399,0.854323942,0.00039395,951.1175365,2.101829295,5,0.4,9,MLMSC-II
0.099980004,0.007282156,0.881070056,0.000445744,846.2961608,2.099610437,5,0.5,1,MLMSC-II
3.568086383,0.034225844,0.814816557,0.000391607,778.2314237,2.00107619,5,0.5,18,MLMSC-II
1.355328934,0.022942492,0.852069614,0.000417031,814.9714557,2.094682899,5,0.5,9,MLMSC-II
0.273145371,0.012970801,0.875223948,0.000498535,628.3368326,1.920215371,5,0.7,1,MLMSC-II
4.547490502,0.039816099,0.811240008,0.000440726,557.3620676,1.794897068,5,0.7,18,MLMSC-II
1.855628874,0.028045557,0.848520883,0.000467645,593.2389122,1.863854016,5,0.7,9,MLMSC-II
0.601079784,0.02057089,0.875182703,0.000545508,471.9182364,1.730098272,5,0.9,1,MLMSC-II
5.476104779,0.045227057,0.809202604,0.000500048,398.3337133,1.533762293,5,0.9,18,MLMSC-II
2.645870826,0.035682753,0.845496293,0.000520308,434.4339032,1.601948426,5,0.9,9,MLMSC-II
0.882223555,0.025556497,0.872778155,0.000580332,409.7094281,1.564599413,5,1,1,MLMSC-II
6.178364327,0.048048873,0.807895331,0.000524583,340.5776945,1.40898214,5,1,18,MLMSC-II
3.143771246,0.03881551,0.8431989,0.000548802,375.039872,1.466593123,5,1,9,MLMSC-II
1.24095181,0.030163623,0.87095984,0.000614689,354.4518996,1.464110669,5,1.1,1,MLMSC-II
6.700659868,0.050610703,0.806071534,0.00055206,288.3595581,1.266086658,5,1.1,18,MLMSC-II
3.660467906,0.042885092,0.841598102,0.00057851,316.6776045,1.357471694,5,1.1,9,MLMSC-II
2.033193361,0.039943216,0.87061132,0.000652301,264.4181064,1.240543589,5,1.3,1,MLMSC-II
7.823635273,0.055874444,0.805366434,0.000628532,208.3359228,1.02604442,5,1.3,18,MLMSC-II
4.720655869,0.050032885,0.837890718,0.000630943,238.5852829,1.148167485,5,1.3,9,MLMSC-II
2.99580084,0.048456649,0.867276184,0.000709466,201.3708358,1.038948278,5,1.5,1,MLMSC-II
8.925814837,0.059028148,0.803022126,0.000681747,155.7729654,0.834658111,5,1.5,18,MLMSC-II
5.868826235,0.056066472,0.836491376,0.000683773,176.5355729,0.944903198,5,1.5,9,MLMSC-II
7.386809269,0.113779827,0.842369955,0.001557678,78.16939988,0.924470458,6,2,1,MLMSC-II
12.7575419,0.152148682,0.776078874,0.002176855,52.55402235,0.928090617,6,2,18,MLMSC-II
10.16494845,0.144807882,0.80951712,0.001922014,68.35796626,1.04868014,6,2,9,MLMSC-II
0.180363927,0.009880938,0.8649196,0.000446424,925.2864927,2.176574333,6,0.4,1,MLMSC-II
3.769646071,0.034862332,0.802507144,0.00039367,865.1083483,2.060190969,6,0.4,18,MLMSC-II
1.606478704,0.025074614,0.839507818,0.000411951,894.4042492,2.154671335,6,0.4,9,MLMSC-II
0.25194961,0.011774295,0.863195432,0.00047463,777.1963007,2.121667002,6,0.5,1,MLMSC-II
4.279144171,0.037478149,0.801243371,0.000420803,711.5372026,1.999058948,6,0.5,18,MLMSC-II
1.933213357,0.028200508,0.835554848,0.000436874,751.9029694,2.080414557,6,0.5,9,MLMSC-II
0.667466507,0.020558097,0.858804064,0.000530533,564.6208158,1.851762409,6,0.7,1,MLMSC-II
