n_dups,std_dups,n_genes,std_genes,n_species,std_species,r_d,r_l,coal_unit,model
4.81029,0.012073635,14.00885,0.025798945,8.10017,0.009630249,5,1.5,1,MLMSC-II
4.49785,0.01048316,12.12312,0.020443101,7.65903,0.008987452,5,1.5,18,MLMSC-II
4.6481,0.011155595,12.9851,0.022631304,7.87991,0.009288032,5,1.5,9,MLMSC-II
4.55558,0.010963399,11.16859,0.019569239,6.64306,0.007469344,6,2,1,MLMSC-II
4.00973,0.008936238,9.28066,0.014475593,6.18348,0.006621374,6,2,18,MLMSC-II
4.25935,0.009871659,10.11794,0.016740678,6.39692,0.00705717,6,2,9,MLMSC-II
11.38149,0.025018433,31.30116,0.056614359,12.51171,0.011041759,6,0.4,1,MLMSC-II
11.0038,0.022041028,28.11718,0.046025654,12.30485,0.010907097,6,0.4,18,MLMSC-II
11.16929,0.023340282,29.52048,0.05048026,12.41066,0.011003172,6,0.4,9,MLMSC-II
10.46854,0.023538739,28.54888,0.05283729,11.81675,0.011405446,6,0.5,1,MLMSC-II
10.0053,0.020694637,25.3245,0.042703335,11.55564,0.011186398,6,0.5,18,MLMSC-II
10.25497,0.022013061,26.85257,0.047226432,11.70836,0.01132202,6,0.5,9,MLMSC-II
9.03844,0.021100954,24.14718,0.046206958,10.65367,0.011494702,6,0.7,1,MLMSC-II
8.45267,0.018257232,21.04016,0.036983544,10.32032,0.011139964,6,0.7,18,MLMSC-II
8.7328,0.019631003,22.44972,0.041116484,10.47915,0.011343533,6,0.7,9,MLMSC-II
7.84525,0.018786212,20.65172,0.040100687,9.68368,0.011108008,6,0.9,1,MLMSC-II
7.26819,0.01612216,17.78031,0.031694885,9.29688,0.010655691,6,0.9,18,MLMSC-II
7.5445,0.017350136,19.08373,0.035342522,9.49227,0.010875265,6,0.9,9,MLMSC-II
7.40339,0.017853701,19.27966,0.037511363,9.2822,0.010838773,6,1,1,MLMSC-II
6.78105,0.015135911,16.4763,0.029355957,8.86485,0.010316604,6,1,18,MLMSC-II
7.07615,0.016352088,17.72558,0.032829214,9.05321,0.010566225,6,1,9,MLMSC-II
6.94961,0.016929287,17.96946,0.035097082,8.88061,0.010522189,6,1.1,1,MLMSC-II
6.36305,0.0143217,15.31308,0.027260228,8.45565,0.009954955,6,1.1,18,MLMSC-II
6.63836,0.01539147,16.51617,0.030387241,8.67957,0.010233679,6,1.1,9,MLMSC-II
6.22801,0.015258078,15.82786,0.030444513,8.21159,0.009824101,6,1.3,1,MLMSC-II
5.61771,0.012701679,13.36211,0.02342794,7.77636,0.00920106,6,1.3,18,MLMSC-II
5.90373,0.013858432,14.48318,0.026578014,7.98721,0.009519431,6,1.3,9,MLMSC-II
5.63869,0.013771745,14.16156,0.02662796,7.68528,0.009134766,6,1.5,1,MLMSC-II
5.03072,0.011353909,11.82848,0.020201755,7.19174,0.008356426,6,1.5,18,MLMSC-II
5.31379,0.012495872,12.88683,0.023120921,7.43148,0.008773712,6,1.5,9,MLMSC-II
0,0,16,0,16,0,0,0.4,1,DLCoal
0,0,16,0,16,0,0,0.5,1,DLCoal
0,0,16,0,16,0,0,0.7,1,DLCoal
0,0,16,0,16,0,0,0.9,1,DLCoal
0,0,16,0,16,0,0,1,1,DLCoal
0,0,16,0,16,0,0,1.1,1,DLCoal
0,0,16,0,16,0,0,1.3,1,DLCoal
0,0,16,0,16,0,0,1.5,1,DLCoal
0,0,16,0,16,0,0,2,1,DLCoal
0,0,16,0,16,0,0,0.4,18,DLCoal
0,0,16,0,16,0,0,0.5,18,DLCoal
0,0,16,0,16,0,0,0.7,18,DLCoal
0,0,16,0,16,0,0,0.9,18,DLCoal
0,0,16,0,16,0,0,1,18,DLCoal
0,0,16,0,16,0,0,1.1,18,DLCoal
0,0,16,0,16,0,0,1.3,18,DLCoal
0,0,16,0,16,0,0,1.5,18,DLCoal
0,0,16,0,16,0,0,2,18,DLCoal
0,0,16,0,16,0,0,0.4,9,DLCoal
0,0,16,0,16,0,0,0.5,9,DLCoal
0,0,16,0,16,0,0,0.7,9,DLCoal
0,0,16,0,16,0,0,0.9,9,DLCoal
0,0,16,0,16,0,0,1,9,DLCoal
0,0,16,0,16,0,0,1.1,9,DLCoal
0,0,16,0,16,0,0,1.3,9,DLCoal
0,0,16,0,16,0,0,1.5,9,DLCoal
0,0,16,0,16,0,0,2,9,DLCoal
1.32941,0.004197543,17.86529,0.015167595,15.00689,0.006636691,1,0.4,1,DLCoal
1.33339,0.004199737,17.86073,0.01519483,14.99851,0.006669507,1,0.4,18,DLCoal
1.33413,0.004231743,17.86782,0.015194124,15.00623,0.006622292,1,0.4,9,DLCoal
1.3059,0.004166152,17.5366,0.015325774,14.77299,0.007287901,1,0.5,1,DLCoal
1.30475,0.004147017,17.52288,0.015351818,14.75851,0.007351032,1,0.5,18,DLCoal
1.30447,0.004164547,17.54404,0.01542638,14.76699,0.007339939,1,0.5,9,DLCoal
1.26603,0.004084721,16.94399,0.015765735,14.30471,0.008335449,1,0.7,1,DLCoal
1.27479,0.004106212,16.97891,0.015859885,14.32193,0.008276521,1,0.7,18,DLCoal
1.27044,0.004126208,16.96394,0.015833171,14.32036,0.008281859,1,0.7,9,DLCoal
1.23648,0.004065949,16.41058,0.016135695,13.88286,0.009053198,1,0.9,1,DLCoal
1.22872,0.004051523,16.39257,0.016075452,13.88334,0.009037075,1,0.9,18,DLCoal
1.22852,0.004039152,16.37311,0.016033564,13.87624,0.00906809,1,0.9,9,DLCoal
1.19821,0.002839411,15.874125,0.011507807,13.47018,0.006792013,1,1.1,1,DLCoal
1.2015,0.002839336,15.88411,0.01152385,13.47871,0.006785408,1,1.1,18,DLCoal
1.19862,0.002835594,15.869445,0.011492457,13.46823,0.006788471,1,1.1,9,DLCoal
1.166955,0.002795424,15.3717,0.011525342,13.084125,0.007085121,1,1.3,1,DLCoal
1.169605,0.002813652,15.396455,0.011617552,13.087055,0.007095758,1,1.3,18,DLCoal
1.167865,0.002803261,15.38635,0.011597721,13.087835,0.007099046,1,1.3,9,DLCoal
1.13414,0.002753756,14.89993,0.011563075,12.715505,0.007327746,1,1.5,1,DLCoal
1.130595,0.002756245,14.884325,0.011542434,12.71034,0.007318193,1,1.5,18,DLCoal
1.13864,0.002768002,14.928725,0.011593681,12.730255,0.007299533,1,1.5,9,DLCoal
1.21905,0.004024703,16.14227,0.016188734,13.67202,0.00934842,1,1,1,DLCoal
1.21426,0.004032901,16.12237,0.01618776,13.66258,0.009377417,1,1,18,DLCoal
1.21984,0.004027911,16.11151,0.016202444,13.65638,0.009381436,1,1,9,DLCoal
1.061445,0.002671747,13.80435,0.01143978,11.865075,0.007644072,1,2,1,DLCoal
1.063681371,0.002832092,13.81861267,0.012147328,11.86343105,0.008076336,1,2,18,DLCoal
1.07011553,0.002849242,13.83305158,0.012220115,11.86553702,0.008123196,1,2,9,DLCoal
2.84554,0.007177418,19.95674,0.023411949,14.23902,0.008569949,2,0.4,1,DLCoal
2.85155,0.007196905,19.96163,0.023560296,14.22911,0.008576347,2,0.4,18,DLCoal
2.83744,0.007165421,19.94465,0.02338088,14.24038,0.008536457,2,0.4,9,DLCoal
2.7626,0.007063704,19.31801,0.023442668,13.84208,0.009215577,2,0.5,1,DLCoal
2.76502,0.007127016,19.31965,0.023420919,13.84784,0.009230716,2,0.5,18,DLCoal
2.76907,0.007069732,19.31034,0.023291263,13.83881,0.00925038,2,0.5,9,DLCoal
2.5983,0.006834767,18.05159,0.023012383,13.09317,0.010189167,2,0.7,1,DLCoal
2.61233,0.006913139,18.08656,0.023092908,13.10866,0.010137059,2,0.7,18,DLCoal
2.61993,0.006880134,18.12677,0.023064603,13.12247,0.01011107,2,0.7,9,DLCoal
2.47544,0.006730722,17.0027,0.022663073,12.44244,0.010660526,2,0.9,1,DLCoal
2.4689,0.006714907,17.00448,0.022709565,12.43683,0.010699058,2,0.9,18,DLCoal
2.46404,0.00666151,16.96825,0.022586782,12.42223,0.010714489,2,0.9,9,DLCoal
2.34966,0.00462232,16.038945,0.015670546,11.84408,0.007764856,2,1.1,1,DLCoal
2.35095,0.004616858,16.04158,0.015633839,11.84351,0.007746645,2,1.1,18,DLCoal
2.34797,0.004593369,16.020965,0.015590779,11.8357,0.007764559,2,1.1,9,DLCoal
2.23255,0.004487355,15.1044,0.015193227,11.259145,0.007860522,2,1.3,1,DLCoal
2.23112,0.004480727,15.136035,0.015197253,11.278975,0.007844071,2,1.3,18,DLCoal
2.234235,0.004503937,15.146895,0.015232857,11.287455,0.0078481,2,1.3,9,DLCoal
2.40226,0.00661236,16.48746,0.022450186,12.12273,0.010874091,2,1,1,DLCoal
2.41176,0.006610187,16.51463,0.022410803,12.13064,0.010861414,2,1,18,DLCoal
2.40921,0.006629737,16.50372,0.022469279,12.12575,0.010864269,2,1,9,DLCoal
2.135645,0.004373325,14.33972,0.014690598,10.776715,0.007849959,2,1.5,1,DLCoal
2.13702,0.004378998,14.35506,0.014764586,10.783165,0.007861851,2,1.5,18,DLCoal
2.136224357,0.004764665,14.33555356,0.01600604,10.78171805,0.00854669,2,1.5,9,DLCoal
1.91735,0.004093217,12.6315,0.01345948,9.68073,0.007619949,2,2,1,DLCoal
1.921525,0.00408837,12.65101,0.013484151,9.692225,0.007631978,2,2,18,DLCoal
1.91769,0.004081527,12.63292,0.013445349,9.684265,0.007622996,2,2,9,DLCoal
4.58309,0.010637927,22.35559,0.031236444,13.65743,0.009576893,3,0.4,1,DLCoal
4.59065,0.010669816,22.36628,0.031390162,13.6393,0.009656992,3,0.4,18,DLCoal
4.57776,0.010569392,22.36842,0.03127376,13.64749,0.009624791,3,0.4,9,DLCoal
4.38839,0.01035482,21.30655,0.030516934,13.15937,0.010205918,3,0.5,1,DLCoal
4.3846,0.010375476,21.32248,0.030707138,13.14879,0.01021855,3,0.5,18,DLCoal
4.37774,0.010407623,21.25234,0.030714783,13.12496,0.01026664,3,0.5,9,DLCoal
4.03715,0.009901226,19.4,0.029290387,12.23691,0.010927032,3,0.7,1,DLCoal
4.03264,0.009865654,19.37771,0.029229718,12.22794,0.010923178,3,0.7,18,DLCoal
4.02601,0.009919109,19.36932,0.029209936,12.22841,0.010911718,3,0.7,9,DLCoal
3.73312,0.009472299,17.74168,0.027829022,11.4148,0.011208616,3,0.9,1,DLCoal
3.74534,0.009462599,17.79248,0.027898762,11.42049,0.011225607,3,0.9,18,DLCoal
3.74184,0.009471739,17.75607,0.027800968,11.41403,0.011196488,3,0.9,9,DLCoal
3.490155,0.006419242,16.37108,0.018596513,10.71774,0.007937535,3,1.1,1,DLCoal
3.49499,0.00641719,16.38981,0.018648617,10.71757,0.007913911,3,1.1,18,DLCoal
3.48652,0.006407019,16.385055,0.018609076,10.7287,0.007926247,3,1.1,9,DLCoal
3.26714,0.006149672,15.17791,0.017590848,10.102,0.007829345,3,1.3,1,DLCoal
3.2672,0.006128948,15.16307,0.01756021,10.097135,0.007822132,3,1.3,18,DLCoal
3.272335,0.006149694,15.168675,0.017566367,10.10024,0.007824319,3,1.3,9,DLCoal
3.62759,0.009334757,17.09736,0.027135216,11.07386,0.011231265,3,1,1,DLCoal
3.61643,0.009300135,17.09705,0.027127062,11.0951,0.011229373,3,1,18,DLCoal
3.61806,0.009267971,17.07874,0.027147673,11.06852,0.011239044,3,1,9,DLCoal
3.065365,0.005871148,14.09909,0.016516906,9.54701,0.007645397,3,1.5,1,DLCoal
3.072124136,0.006830827,14.1080644,0.01924088,9.544233385,0.008901518,3,1.5,18,DLCoal
3.06478,0.005860468,14.11804,0.016507639,9.56451,0.007638608,3,1.5,9,DLCoal
2.677372615,0.006054277,12.00227129,0.016152859,8.421128204,0.008022397,3,2,1,DLCoal
2.68199,0.005286775,12.01266,0.014110437,8.42365,0.006994212,3,2,18,DLCoal
2.67871,0.005297212,12.018405,0.01411958,8.434645,0.007008747,3,2,9,DLCoal
6.55447,0.014649207,25.03574,0.039254244,13.16688,0.010359246,4,0.4,1,DLCoal
6.5458,0.014718247,24.99838,0.039306616,13.16569,0.010323354,4,0.4,18,DLCoal
6.53187,0.014654248,24.9658,0.039270283,13.15648,0.010366794,4,0.4,9,DLCoal
6.19868,0.014175326,23.55356,0.03800978,12.62245,0.010812827,4,0.5,1,DLCoal
6.21352,0.014226065,23.55013,0.037992816,12.60682,0.010807593,4,0.5,18,DLCoal
6.21219,0.014270434,23.54891,0.038102876,12.59176,0.01081729,4,0.5,9,DLCoal
5.6018,0.013401536,20.94002,0.035292842,11.58268,0.011268598,4,0.7,1,DLCoal
5.56716,0.013325715,20.87772,0.035190159,11.57573,0.011296571,4,0.7,18,DLCoal
5.57963,0.013349546,20.92136,0.035439547,11.58089,0.011279807,4,0.7,9,DLCoal
5.05961,0.012453269,18.67129,0.032357059,10.68133,0.011311422,4,0.9,1,DLCoal
5.05786,0.012411965,18.68003,0.032207593,10.6891,0.011303446,4,0.9,18,DLCoal
5.07631,0.012489941,18.73829,0.032425057,10.70668,0.011318918,4,0.9,9,DLCoal
4.635120606,0.010312541,16.87811643,0.026233629,9.943615994,0.009782783,4,1.1,1,DLCoal
4.642145,0.008294991,16.891315,0.021131007,9.927115,0.007841784,4,1.1,18,DLCoal
4.644604631,0.010367111,16.91860919,0.026402115,9.950446234,0.009820581,4,1.1,9,DLCoal
4.85802,0.012170419,17.78898,0.031304276,10.29508,0.011225005,4,1,1,DLCoal
