"colless","std_colless","r_d","r_l","coal_unit","model"
0.280146673460669,0.0058901945328307,5,1.1,9,"MLMSC-II"
0.245913859726882,0.00540341872605847,5,1,1,"MLMSC-II"
0.293057510781142,0.00632256520995048,5,1,18,"MLMSC-II"
0.251798395845152,0.0048148416230219,5,1,9,"MLMSC-II"
0.279252791801315,0.00562414737082081,5,1.3,1,"MLMSC-II"
0.324772700442628,0.00677227637410818,5,1.3,18,"MLMSC-II"
0.299505005834926,0.00613625277789667,5,1.3,9,"MLMSC-II"
0.308631231838597,0.00681264168086779,5,1.5,1,"MLMSC-II"
0.363308384154248,0.0074955743354755,5,1.5,18,"MLMSC-II"
0.31806076062201,0.00664319105348395,5,1.5,9,"MLMSC-II"
0.375656716432067,0.00763675622554452,6,2,1,"MLMSC-II"
0.436330399810878,0.00854376764213262,6,2,18,"MLMSC-II"
0.398911513980903,0.00779791115050248,6,2,9,"MLMSC-II"
0.158186310195638,0.00308958531747568,6,0.4,1,"MLMSC-II"
0.19150236615454,0.00417752278577128,6,0.4,18,"MLMSC-II"
0.170682855299288,0.00390553056677386,6,0.4,9,"MLMSC-II"
0.174706775771341,0.00390335420300245,6,0.5,1,"MLMSC-II"
0.201118524794542,0.0039169803429186,6,0.5,18,"MLMSC-II"
0.191622702770243,0.0043151756999365,6,0.5,9,"MLMSC-II"
0.201879155559209,0.00443762538494623,6,0.7,1,"MLMSC-II"
0.239263917999829,0.0050914771831159,6,0.7,18,"MLMSC-II"
0.223414366672694,0.0049416835636858,6,0.7,9,"MLMSC-II"
0.2274546696881,0.00472559321622738,6,0.9,1,"MLMSC-II"
0.269188662933574,0.00538451966917378,6,0.9,18,"MLMSC-II"
0.245498903595324,0.00536625123592388,6,0.9,9,"MLMSC-II"
0.261761661425157,0.00578275564413055,6,1.1,1,"MLMSC-II"
0.307483499837254,0.00655908435598433,6,1.1,18,"MLMSC-II"
0.280358001779652,0.00553451333983551,6,1.1,9,"MLMSC-II"
0.238333993802962,0.00486003251015873,6,1,1,"MLMSC-II"
0.293619798703396,0.00610352155378162,6,1,18,"MLMSC-II"
0.26411318023893,0.0056047487710702,6,1,9,"MLMSC-II"
0.269779515909349,0.00561714355285557,6,1.3,1,"MLMSC-II"
0.33318827344609,0.00676919033718465,6,1.3,18,"MLMSC-II"
0.307724180467381,0.00648732222298381,6,1.3,9,"MLMSC-II"
0.326997998211637,0.00689759925756617,6,1.5,1,"MLMSC-II"
0.363161173438924,0.00738368199956101,6,1.5,18,"MLMSC-II"
0.342483884087823,0.00731763988659258,6,1.5,9,"MLMSC-II"
0.171428571428571,0,0,0,1,"DLCoal"
0.171428571428571,0,0,0,1,"DLCoal"
0.171428571428571,0,0,0,1,"DLCoal"
0.171428571428571,0,0,0,1,"DLCoal"
0.171428571428571,0,0,0,1,"DLCoal"
0.171428571428571,0,0,0,1,"DLCoal"
0.171428571428571,0,0,0,1,"DLCoal"
0.171428571428571,0,0,0,1,"DLCoal"
0.171428571428571,0,0,0,1,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.204266666666667,0.00161495421051043,0,0,18,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.179466666666667,0.00123584052947212,0,0,9,"DLCoal"
0.172227419545667,0.00211288331494643,1,0.4,1,"DLCoal"
0.202839146884526,0.00279509581924631,1,0.4,18,"DLCoal"
0.179582599301869,0.00225419621478459,1,0.4,9,"DLCoal"
0.172296341048684,0.00212007739605646,1,0.5,1,"DLCoal"
0.208069271179374,0.0033163634100279,1,0.5,18,"DLCoal"
0.184782186755336,0.00253000819248772,1,0.5,9,"DLCoal"
0.183323793125952,0.00274299786126502,1,0.7,1,"DLCoal"
0.220250922496378,0.00366453174833907,1,0.7,18,"DLCoal"
0.193700112830125,0.00272562987186107,1,0.7,9,"DLCoal"
0.1889709835294,0.00286491965407109,1,0.9,1,"DLCoal"
0.225094696474255,0.00370916335545087,1,0.9,18,"DLCoal"
0.206227914033807,0.00361812790907712,1,0.9,9,"DLCoal"
0.1983995741431,0.00348241720260306,1,1.1,1,"DLCoal"
